File Path,PID,Runtime,# DAGs,# Errors,Last Runtime,Last Run
/opt/airflow/dags/get_logs_inventary.py,1634,0.01s,0,1,0.10s,2023-11-25T18:07:08
/opt/airflow/dags/get_logs_inventary.py,1661,0.01s,0,1,0.06s,2023-11-25T18:07:38
/opt/airflow/dags/get_logs_inventary.py,1697,0.01s,0,1,0.09s,2023-11-25T18:08:08
/opt/airflow/dags/get_logs_inventary.py,1728,0.01s,0,1,0.08s,2023-11-25T18:08:38
/opt/airflow/dags/get_logs_inventary.py,1755,0.01s,0,1,0.07s,2023-11-25T18:09:09
/opt/airflow/dags/get_logs_inventary.py,1782,0.01s,0,1,0.07s,2023-11-25T18:09:39
/opt/airflow/dags/get_logs_inventary.py,1809,0.01s,0,1,0.07s,2023-11-25T18:10:09
/opt/airflow/dags/get_logs_inventary.py,1847,0.01s,0,1,0.07s,2023-11-25T18:10:39
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1846,0.02s,0,1,0.71s,2023-11-25T18:10:39
/opt/airflow/dags/get_logs_inventary.py,1873,0.00s,0,1,0.10s,2023-11-25T18:11:09
/opt/airflow/dags/get_logs_inventary.py,1900,0.00s,0,1,0.05s,2023-11-25T18:11:40
/opt/airflow/dags/get_logs_inventary.py,1927,0.01s,0,1,0.05s,2023-11-25T18:12:10
/opt/airflow/dags/get_logs_inventary.py,1961,0.01s,0,1,0.08s,2023-11-25T18:12:40
/opt/airflow/dags/get_logs_inventary.py,1993,0.00s,0,1,0.08s,2023-11-25T18:13:10
/opt/airflow/dags/get_logs_inventary.py,2020,0.00s,0,1,0.05s,2023-11-25T18:13:41
/opt/airflow/dags/get_logs_inventary.py,2047,0.01s,0,1,0.05s,2023-11-25T18:14:11
/opt/airflow/dags/get_logs_inventary.py,2086,0.01s,0,1,0.07s,2023-11-25T18:14:41
/opt/airflow/dags/get_logs_inventary.py,2174,0.01s,0,1,0.06s,2023-11-25T18:16:12
/opt/airflow/dags/get_logs_inventary.py,2206,0.01s,0,1,0.05s,2023-11-25T18:16:42
/opt/airflow/dags/get_logs_inventary.py,2233,0.01s,0,1,0.06s,2023-11-25T18:17:12
/opt/airflow/dags/get_logs_inventary.py,2260,0.01s,0,1,0.11s,2023-11-25T18:17:42
/opt/airflow/dags/get_logs_inventary.py,2287,0.01s,0,1,0.07s,2023-11-25T18:18:12
/opt/airflow/dags/get_logs_inventary.py,2326,0.01s,0,1,0.06s,2023-11-25T18:18:43
/opt/airflow/dags/get_logs_inventary.py,2353,0.01s,0,1,0.08s,2023-11-25T18:19:13
/opt/airflow/dags/get_logs_inventary.py,2380,0.01s,0,1,0.06s,2023-11-25T18:19:43
/opt/airflow/dags/get_logs_inventary.py,2407,0.01s,0,1,0.06s,2023-11-25T18:20:13
/opt/airflow/dags/get_logs_inventary.py,2440,0.01s,0,1,0.06s,2023-11-25T18:20:43
/opt/airflow/dags/get_logs_inventary.py,2472,0.01s,0,1,0.10s,2023-11-25T18:21:14
/opt/airflow/dags/get_logs_inventary.py,2499,0.01s,0,1,0.07s,2023-11-25T18:21:44
/opt/airflow/dags/get_logs_inventary.py,2526,0.01s,0,1,0.08s,2023-11-25T18:22:14
